"subject_id","trial_type","original_trial_index","x","y","item"
"subj_17","free_sort",21,132,114,"remember something"
"subj_17","free_sort",21,335,105,"kick something"
"subj_17","free_sort",21,201,84,"reach for something"
"subj_17","free_sort",21,208,148,"see something"
"subj_17","free_sort",21,42,267,"get tired"
"subj_17","free_sort",21,272,69,"think about something"
"subj_17","free_sort",21,242,452,"experience pain"
"subj_17","free_sort",21,273,137,"hear something"
"subj_17","free_sort",21,164,265,"take a walk"
"subj_17","free_sort",21,99,299,"jump up and down"
"subj_18","free_sort",21,65,260,"think about something"
"subj_18","free_sort",21,362,216,"reach for something"
"subj_18","free_sort",21,514,326,"get tired"
"subj_18","free_sort",21,83,343,"see something"
"subj_18","free_sort",21,399,175,"kick something"
"subj_18","free_sort",21,348,142,"sit down"
"subj_18","free_sort",21,451,184,"jump up and down"
"subj_18","free_sort",21,237,438,"choose what to do"
"subj_18","free_sort",21,466,374,"become hungry"
"subj_18","free_sort",21,285,221,"take a walk"
"subj_18","free_sort",21,418,335,"get sick"
"subj_18","free_sort",21,444,338,"feel scared"
"subj_18","free_sort",21,90,287,"hear something"
"subj_18","free_sort",21,42,294,"remember something"
"subj_18","free_sort",21,321,270,"experience pain"
"subj_19","free_sort",5,422,223,"become hungry"
"subj_19","free_sort",5,115,99,"hear something"
"subj_19","free_sort",5,418,141,"get tired"
"subj_19","free_sort",5,380,486,"sit down"
"subj_19","free_sort",5,369,465,"choose what to do"
"subj_19","free_sort",5,428,450,"kick something"
"subj_19","free_sort",5,139,159,"think about something"
"subj_19","free_sort",5,343,459,"jump up and down"
"subj_19","free_sort",5,169,144,"remember something"
"subj_19","free_sort",5,97,387,"experience pain"
"subj_19","free_sort",5,173,99,"see something"
"subj_19","free_sort",5,379,491,"reach for something"
"subj_19","free_sort",5,347,187,"get sick"
"subj_19","free_sort",5,310,502,"take a walk"
"subj_19","free_sort",5,181,413,"feel scared"
"subj_20","free_sort",21,384,383,"experience pain"
"subj_20","free_sort",21,383,446,"feel scared"
"subj_20","free_sort",21,442,439,"get tired"
"subj_20","free_sort",21,136,377,"hear something"
"subj_20","free_sort",21,139,435,"reach for something"
"subj_20","free_sort",21,413,114,"sit down"
"subj_20","free_sort",21,291,298,"take a walk"
"subj_20","free_sort",21,160,122,"kick something"
"subj_20","free_sort",21,178,409,"remember something"
"subj_20","free_sort",21,80,416,"see something"
"subj_20","free_sort",21,303,257,"become hungry"
"subj_20","free_sort",21,450,370,"get sick"
"subj_20","free_sort",21,263,257,"choose what to do"
"subj_20","free_sort",21,158,58,"jump up and down"
"subj_20","free_sort",21,70,342,"think about something"
"subj_21","free_sort",5,209,390,"sit down"
"subj_21","free_sort",5,313,146,"reach for something"
"subj_21","free_sort",5,349,478,"hear something"
"subj_21","free_sort",5,196,449,"become hungry"
"subj_21","free_sort",5,441,283,"feel scared"
"subj_21","free_sort",5,96,262,"think about something"
"subj_21","free_sort",5,410,470,"see something"
"subj_21","free_sort",5,159,92,"take a walk"
"subj_21","free_sort",5,496,237,"get sick"
"subj_21","free_sort",5,286,210,"kick something"
"subj_21","free_sort",5,54,237,"remember something"
"subj_21","free_sort",5,147,415,"get tired"
"subj_21","free_sort",5,45,259,"choose what to do"
"subj_21","free_sort",5,98,105,"jump up and down"
"subj_21","free_sort",5,455,204,"experience pain"
"subj_22","free_sort",21,490,360,"feel scared"
"subj_22","free_sort",21,290,114,"see something"
"subj_22","free_sort",21,435,337,"experience pain"
"subj_22","free_sort",21,219,117,"remember something"
"subj_22","free_sort",21,175,502,"sit down"
"subj_22","free_sort",21,192,427,"get sick"
"subj_22","free_sort",21,447,419,"choose what to do"
"subj_22","free_sort",21,148,108,"hear something"
"subj_22","free_sort",21,347,127,"think about something"
"subj_22","free_sort",21,108,418,"jump up and down"
"subj_22","free_sort",21,349,94,"kick something"
"subj_22","free_sort",21,122,463,"reach for something"
"subj_22","free_sort",21,477,364,"become hungry"
"subj_22","free_sort",21,82,381,"take a walk"
"subj_22","free_sort",21,457,274,"get tired"
"subj_23","free_sort",5,98,430,"hear something"
"subj_23","free_sort",5,120,456,"see something"
"subj_23","free_sort",5,418,369,"feel scared"
"subj_23","free_sort",5,256,505,"remember something"
"subj_23","free_sort",5,466,227,"get sick"
"subj_23","free_sort",5,293,481,"choose what to do"
"subj_23","free_sort",5,117,210,"sit down"
"subj_23","free_sort",5,111,173,"jump up and down"
"subj_23","free_sort",5,450,173,"become hungry"
"subj_23","free_sort",5,106,198,"kick something"
"subj_23","free_sort",5,497,186,"experience pain"
"subj_23","free_sort",5,124,185,"reach for something"
"subj_23","free_sort",5,456,399,"get tired"
"subj_23","free_sort",5,102,156,"take a walk"
"subj_23","free_sort",5,292,508,"think about something"
"subj_24","free_sort",5,397,102,"see something"
"subj_24","free_sort",5,417,379,"get tired"
